"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.300025400E-2	1.557752490E-3	8.189296722E-2	-3.878295422E-3	8.199954786E-2
3.102626900E-2	-9.603300691E-2	1.169862747E-1	7.285940647E-2	1.679780343E-1
3.908280100E-2	-2.456627190E-1	1.618471146E-1	2.194225788E-3	2.941929208E-1
4.713933100E-2	-8.221607655E-2	1.409063339E-1	-1.176127195E-1	2.011139726E-1
5.519586300E-2	-6.954729557E-2	1.105289459E-1	-1.306780577E-1	1.847436845E-1
6.325239500E-2	-9.000497311E-2	1.343870163E-1	-1.224875450E-2	1.622060336E-1
7.127841000E-2	1.236716658E-2	1.484994888E-1	8.539980650E-2	1.717503186E-1
7.930442400E-2	2.959873527E-2	9.943199158E-2	1.264718175E-1	1.635785032E-1
8.733043800E-2	-1.589753479E-2	1.177349091E-1	1.152586043E-1	1.655257874E-1
9.535645200E-2	-6.983532012E-2	1.214332581E-1	1.472919881E-1	2.032681428E-1
1.034129830E-1	-9.688655287E-2	1.326084137E-1	1.114608049E-1	1.984830132E-1
1.114695150E-1	-3.133358806E-2	1.317024231E-1	1.394489557E-1	1.943536293E-1
1.194955300E-1	6.190523505E-3	1.117124557E-1	1.571568549E-1	1.929151948E-1
1.275215440E-1	7.625229657E-3	1.350135803E-1	1.215521246E-1	1.818288481E-1
1.355170420E-1	-9.971797466E-3	1.295270920E-1	1.338137239E-1	1.865015201E-1
1.435735730E-1	-2.322740853E-3	1.311035156E-1	1.830685437E-1	2.251835221E-1
1.515995870E-1	6.456188858E-3	1.207656860E-1	1.881967485E-1	2.237052736E-1
1.596561190E-1	-2.145589888E-2	1.009473801E-1	1.736617535E-1	2.020127070E-1
1.676821330E-1	-2.266688272E-2	1.050739288E-1	1.940153837E-1	2.218023607E-1
1.756776300E-1	-4.257058352E-2	1.308135986E-1	2.041147798E-1	2.461448669E-1
1.837036450E-1	-1.402750239E-2	1.327505112E-1	1.940021962E-1	2.354916584E-1
1.917601760E-1	1.289163157E-2	9.423255920E-2	1.168366820E-1	1.506545042E-1
1.998167080E-1	2.473244071E-2	1.014165878E-1	3.309522569E-2	1.095094145E-1
2.078732390E-1	3.183291852E-2	1.205816269E-1	-1.796692610E-3	1.247256652E-1
