"Time (s)"	"Illuminance (lx)"
7.895631600E-2	2.660000000E2
1.190862730E-1	2.600000000E2
1.592162300E-1	2.630000000E2
1.993156700E-1	2.660000000E2
2.796366180E-1	2.710000000E2
3.197665740E-1	2.790000000E2
3.599270480E-1	2.840000000E2
4.000570050E-1	2.860000000E2
5.606683840E-1	2.840000000E2
6.008898920E-1	2.860000000E2
6.409588140E-1	2.890000000E2
6.810582530E-1	2.920000000E2
7.216154500E-1	2.940000000E2
8.011124370E-1	2.920000000E2
8.410898080E-1	2.940000000E2
8.811892480E-1	2.960000000E2
9.618458830E-1	2.930000000E2
1.001273948E0	2.960000000E2
1.041281836E0	2.930000000E2
1.081259207E0	2.960000000E2
1.121083993E0	2.930000000E2
1.799997414E0	2.960000000E2
1.839883235E0	2.930000000E2
1.879769055E0	2.960000000E2
1.959632246E0	2.930000000E2
1.999548583E0	2.960000000E2
2.039495438E0	2.930000000E2
2.079350741E0	2.960000000E2
2.239382295E0	2.980000000E2
2.279512252E0	2.970000000E2
2.319672726E0	2.940000000E2
2.359772165E0	2.970000000E2
2.520322510E0	2.980000000E2
2.560482984E0	2.970000000E2
2.680903371E0	2.940000000E2
2.721063845E0	2.970000000E2
2.761132768E0	2.940000000E2
2.801201690E0	2.990000000E2
2.841331647E0	2.980000000E2
2.882041428E0	2.970000000E2
3.162615438E0	2.990000000E2
3.202745395E0	2.970000000E2
3.242905869E0	2.990000000E2
3.283096859E0	2.970000000E2
3.323226816E0	2.990000000E2
3.684518496E0	3.020000000E2
3.724617936E0	2.990000000E2
3.764808927E0	3.020000000E2
3.804938883E0	2.990000000E2
3.845587630E0	3.020000000E2
3.925328754E0	2.990000000E2
3.965489228E0	3.020000000E2
4.365873284E0	3.050000000E2
4.405881172E0	3.020000000E2
4.445980611E0	3.050000000E2
4.486171603E0	3.020000000E2
4.646477811E0	3.050000000E2
4.807638496E0	3.070000000E2
4.847005526E0	3.110000000E2
4.886860829E0	3.160000000E2
4.926807683E0	3.210000000E2
4.966815572E0	3.250000000E2
5.006762426E0	3.330000000E2
5.047411173E0	3.340000000E2
5.086808720E0	3.420000000E2
5.126633507E0	3.490000000E2
5.166427776E0	3.540000000E2
5.206374629E0	3.590000000E2
5.246321484E0	3.650000000E2
5.286939714E0	3.710000000E2
5.326398295E0	3.770000000E2
5.366436701E0	3.800000000E2
5.406261487E0	3.850000000E2
5.446177824E0	3.910000000E2
5.526773425E0	3.980000000E2
5.566293041E0	4.030000000E2
5.606300929E0	4.050000000E2
5.646278300E0	4.080000000E2
5.686469291E0	4.120000000E2
5.726568731E0	4.150000000E2
5.767247996E0	4.200000000E2
5.806859162E0	4.170000000E2
5.846867050E0	4.220000000E2
5.886966490E0	4.250000000E2
5.926913344E0	4.240000000E2
5.966921233E0	4.260000000E2
6.007356360E0	4.240000000E2
6.126769685E0	4.260000000E2
6.166808090E0	4.240000000E2
6.206785461E0	4.290000000E2
6.247464725E0	4.310000000E2
6.286892790E0	4.380000000E2
6.327022746E0	4.490000000E2
6.407313177E0	4.750000000E2
6.447321065E0	4.860000000E2
6.488030846E0	5.090000000E2
6.527642013E0	5.270000000E2
6.567771970E0	5.500000000E2
6.607871410E0	5.840000000E2
6.647970849E0	6.070000000E2
6.688070289E0	6.380000000E2
6.728749554E0	6.770000000E2
6.768269168E0	7.180000000E2
6.808399126E0	7.570000000E2
6.848437531E0	7.930000000E2
6.888475937E0	8.220000000E2
6.928331240E0	8.520000000E2
7.008591153E0	9.350000000E2
7.048751627E0	9.610000000E2
7.088881584E0	1.003000000E3
7.128950506E0	1.039000000E3
7.169110981E0	1.065000000E3
7.209820762E0	1.085000000E3
7.249187792E0	1.111000000E3
7.289134646E0	1.142000000E3
7.329112017E0	1.168000000E3
7.368967320E0	1.199000000E3
7.408883657E0	1.225000000E3
7.449471371E0	1.267000000E3
7.488929952E0	1.303000000E3
7.528968357E0	1.328000000E3
7.568945729E0	1.375000000E3
7.608984134E0	1.406000000E3
7.649144608E0	1.442000000E3
7.689732321E0	1.468000000E3
7.729282454E0	1.504000000E3
7.769442928E0	1.546000000E3
7.809603402E0	1.587000000E3
7.849794392E0	1.644000000E3
7.889954866E0	1.701000000E3
7.930634131E0	1.747000000E3
7.970123229E0	1.814000000E3
8.050291591E0	1.944000000E3
8.090452065E0	1.985000000E3
